Year,Tax Rate,Above,Below,,
2017,10.0%,$0,"$17,850",,
2017,15.0%,"$17,850","$72,500",,
2017,25.0%,"$72,500","$146,400",,
2017,28.0%,"$146,400","$223,050",,
2017,33.0%,"$223,050","$398,350",,
2017,35.0%,"$398,350","$450,000",,
2017,39.6%,"$450,000",,,
2016,10.0%,$0,"$17,850",,
2016,15.0%,"$17,850","$72,500",,
2016,25.0%,"$72,500","$146,400",,
2016,28.0%,"$146,400","$223,050",,
2016,33.0%,"$223,050","$398,350",,
2016,35.0%,"$398,350","$450,000",,
2016,39.6%,"$450,000",,,
2015,10.0%,$0,"$17,850",,
2015,15.0%,"$17,850","$72,500",,
2015,25.0%,"$72,500","$146,400",,
2015,28.0%,"$146,400","$223,050",,
2015,33.0%,"$223,050","$398,350",,
2015,35.0%,"$398,350","$450,000",,
2015,39.6%,"$450,000",,,
2014,10.0%,$0,"$17,850",,
2014,15.0%,"$17,850","$72,500",,
2014,25.0%,"$72,500","$146,400",,
2014,28.0%,"$146,400","$223,050",,
2014,33.0%,"$223,050","$398,350",,
2014,35.0%,"$398,350","$450,000",,
2014,39.6%,"$450,000",,,
2013,10.0%,$0,"$17,850",,
2013,15.0%,"$17,850","$72,500",,
2013,25.0%,"$72,500","$146,400",,
2013,28.0%,"$146,400","$223,050",,
2013,33.0%,"$223,050","$398,350",,
2013,35.0%,"$398,350","$450,000",,
2013,39.6%,"$450,000",,,
2012,10.0%,$0,"$17,400",,
2012,15.0%,"$17,400","$70,700",,
2012,25.0%,"$70,700","$142,700",,
2012,28.0%,"$142,700","$217,450",,
2012,33.0%,"$217,450","$388,350",,
2012,35.0%,"$388,350",-,,
2012,10.0%,$0,"$17,000",,
2011,15.0%,"$17,000","$69,000",,
2011,25.0%,"$69,000","$139,350",,
2011,28.0%,"$139,350","$212,300",,
2011,33.0%,"$212,300","$379,150",,
2011,35.0%,"$379,150",-,,
2010,10.0%,$0,"$16,750",,
2011,15.0%,"$16,750","$68,000",,
2010,25.0%,"$68,000","$137,300",,
2010,28.0%,"$137,300","$209,250",,
2010,33.0%,"$209,250","$373,650",,
2010,35.0%,"$373,650",-,,
2009,10.0%,$0,"$16,700",,
2009,15.0%,"$16,700","$67,900",,
2010,25.0%,"$67,900","$137,050",,
2009,28.0%,"$137,050","$208,850",,
2009,33.0%,"$208,850","$372,950",,
2009,35.0%,"$372,950",-,,
2008,10.0%,$0,"$16,050",,
2008,15.0%,"$16,050","$65,100",,
2008,25.0%,"$65,100","$131,450",,
2008,28.0%,"$131,450","$200,300",,
2008,33.0%,"$200,300","$357,700",,
2008,35.0%,"$357,700",-,,
2007,10.0%,$0,"$15,650",,
2007,15.0%,"$15,650","$63,700",,
2007,25.0%,"$63,700","$128,500",,
2007,28.0%,"$128,500","$195,850",,
2007,33.0%,"$195,850","$349,700",,
2007,35.0%,"$349,700",-,,
2006,10.0%,$0,"$15,100",,
2006,15.0%,"$15,100","$61,300",,
2006,25.0%,"$61,300","$123,700",,
2006,28.0%,"$123,700","$188,450",,
2006,33.0%,"$188,450","$336,550",,
2006,35.0%,"$336,550",-,,
2005,10.0%,$0,"$14,600",,
2005,15.0%,"$14,600","$59,400",,
2005,25.0%,"$59,400","$119,950",,
2005,28.0%,"$119,950","$182,800",,
2005,33.0%,"$182,800","$326,450",,
2005,35.0%,"$326,450",-,,
2004,10.0%,$0,"$14,300",,
2004,15.0%,"$14,300","$58,100",,
2004,25.0%,"$58,100","$117,250",,
2004,28.0%,"$117,250","$178,650",,
2004,33.0%,"$178,650","$319,100",,
2004,35.0%,"$319,100",-,,
2003,10.0%,$0,"$14,000",,
2003,15.0%,"$14,000","$56,800",,
2003,25.0%,"$56,800","$114,650",,
2003,28.0%,"$114,650","$174,700",,
2003,33.0%,"$174,700","$311,950",,
2003,35.0%,"$311,950",-,,
2002,10.0%,$0,"$12,000",,
2002,15.0%,"$12,000","$46,700",,
2002,27.0%,"$46,700","$112,850",,
2002,30.0%,"$112,850","$171,950",,
2002,35.0%,"$171,950","$307,050",,
2002,38.6%,"$307,050",-,,
2001,15.0%,$0,"$45,200",,
2001,27.5%,"$45,200","$109,250",,
2001,30.5%,"$109,250","$166,500",,
2001,35.5%,"$166,500","$297,350",,
2001,39.1%,"$297,350",-,,
2000,15.0%,$0,"$43,850",,
2000,28.0%,"$43,850","$105,950",,
2000,31.0%,"$105,950","$161,450",,
2000,36.0%,"$161,450","$288,350",,
2000,39.6%,"$288,350",-,,
1999,15.0%,$0,"$43,050",,
1999,28.0%,"$43,050","$104,050",,
1999,31.0%,"$104,050","$158,550",,
1999,36.0%,"$158,550","$283,150",,
1999,39.6%,"$283,150",-,,
1998,15.0%,$0,"$42,350",,
1998,28.0%,"$42,350","$102,300",,
1998,31.0%,"$102,300","$155,950",,
1998,36.0%,"$155,950","$278,450",,
1998,39.6%,"$278,450",-,,
1997,15.0%,$0,"$41,200",,
1997,28.0%,"$41,200","$99,600",,
1997,31.0%,"$99,600","$151,750",,
1997,36.0%,"$151,750","$271,050",,
1997,39.6%,"$271,050",-,,
1996,15.0%,$0,"$40,100",,
1996,28.0%,"$40,100","$96,900",,
1996,31.0%,"$96,900","$147,700",-,
1996,36.0%,"$147,700","$263,750",,
1996,39.6%,"$263,750",-,,
1995,15.0%,$0,"$39,000",,
1995,28.0%,"$39,000","$94,250",,
1995,31.0%,"$94,250","$143,600",,
1995,36.0%,"$143,600","$256,500",,
1995,39.6%,"$256,500",-,,
1994,15.0%,$0,"$38,000",,
1994,28.0%,"$38,000","$91,850",,
1994,31.0%,"$91,850","$140,000",,
1994,36.0%,"$140,000","$250,000",,
1994,39.6%,"$250,000",-,,
1993,15.0%,$0,"$36,900",,
1993,28.0%,"$36,900","$89,150",,
1993,31.0%,"$89,150","$140,000",-,
1993,36.0%,"$140,000","$250,000",,
1993,39.6%,"$250,000",-,,
1992,15.0%,$0,"$35,800",,
1992,28.0%,"$35,800",,,
1991,15.0%,$0,"$34,000",,
1991,28.0%,"$34,000",,,
1990,15.0%,$0,"$32,450",,
1990,28.0%,"$32,450",,,
1989,15.0%,$0,"$30,950",,
1989,28.0%,"$30,950",,,
1988,15.0%,$0,"$29,750",,
1988,28.0%,"$29,750",,,
1987,11.0%,$0,"$3,000",,
1987,15.0%,"$3,000","$28,000",,
1987,28.0%,"$28,000","$45,000",,
1987,35.0%,"$45,000","$90,000",,
1987,38.5%,"$90,000",,,
1986,0.0%,$0,"$3,670",,
1986,11.0%,"$3,670","$5,940",,
1986,12.0%,"$5,940","$8,200",,
1986,14.0%,"$8,200","$12,840",,
1986,16.0%,"$12,840","$17,270",,
1986,18.0%,"$17,270","$21,800",,
1986,22.0%,"$21,800","$26,550",,
1986,25.0%,"$26,550","$32,270",,
1986,28.0%,"$32,270","$37,980",,
1986,33.0%,"$37,980","$49,420",,
1986,38.0%,"$49,420","$64,750",,
1986,42.0%,"$64,750","$92,370",,
1986,45.0%,"$92,370","$118,050",,
1986,49.0%,"$118,050","$175,250",,
1986,50.0%,"$175,250",,,
1985,0.0%,$0,"$3,540",,
1985,11.0%,"$3,540","$5,720",,
1985,12.0%,"$5,720","$7,910",,
1985,14.0%,"$7,910","$12,390",,
1985,16.0%,"$12,390","$16,650",,
1985,18.0%,"$16,650","$21,020",,
1985,22.0%,"$21,020","$25,600",,
1985,25.0%,"$25,600","$31,120",,
1985,28.0%,"$31,120","$36,630",,
1985,33.0%,"$36,630","$47,670",,
1985,38.0%,"$47,670","$62,450",,
1985,42.0%,"$62,450","$89,090",-,
1985,45.0%,"$89,090","$113,860",,
1985,49.0%,"$113,860","$169,020",,
1985,50.0%,"$169,020",-,,
1984,0.0%,$0,"$3,400",,
1984,11.0%,"$3,400","$5,500",,
1984,12.0%,"$5,500","$7,600",,
1984,14.0%,"$7,600","$11,900",,
1984,16.0%,"$11,900","$16,000",,
1984,18.0%,"$16,000","$20,200",,
1984,22.0%,"$20,200","$24,600",,
1984,25.0%,"$24,600","$29,900",,
1984,28.0%,"$29,900","$35,200",,
1984,33.0%,"$35,200","$45,800",,-
1984,38.0%,"$45,800","$60,000",,
1984,42.0%,"$60,000","$85,600",,
1984,45.0%,"$85,600","$109,400",,
1984,49.0%,"$109,400","$162,400",,
1984,50.0%,"$162,400",-,,
1983,0.0%,$0,"$3,400",,
1983,11.0%,"$3,400","$5,500",,
1983,13.0%,"$5,500","$7,600",,
1983,15.0%,"$7,600","$11,900",,
1983,17.0%,"$11,900","$16,000",,
1983,19.0%,"$16,000","$20,200",,
1983,23.0%,"$20,200","$24,600",,
1983,26.0%,"$24,600","$29,900",,
1983,30.0%,"$29,900","$35,200",,
1983,35.0%,"$35,200","$45,800",,
1983,40.0%,"$45,800","$60,000",-,
1983,44.0%,"$60,000","$85,600",,
1983,48.0%,"$85,600","$109,400",,
1983,50.0%,"$109,400",,,
1982,0.0%,$0,"$3,400",,
1982,12.0%,"$3,400","$5,500",,
1982,14.0%,"$5,500","$7,600",,
1982,16.0%,"$7,600","$11,900",,
1982,19.0%,"$11,900","$16,000",,
1982,22.0%,"$16,000","$20,200",,
1982,25.0%,"$20,200","$24,600",,
1982,29.0%,"$24,600","$29,900",,
1982,33.0%,"$29,900","$35,200",,
1982,39.0%,"$35,200","$45,800",,
1982,44.0%,"$45,800","$60,000",,
1982,49.0%,"$60,000","$85,600",,
1982,50.0%,"$85,600",,,
1981,0.0%,$0,"$3,400",,
1981,14.0%,"$3,400","$5,500",,
1981,16.0%,"$5,500","$7,600",,
1981,18.0%,"$7,600","$11,900",,
1981,21.0%,"$11,900","$16,000",,
1981,24.0%,"$16,000","$20,200",,
1981,28.0%,"$20,200","$24,600",,
1981,32.0%,"$24,600","$29,900",,
1981,37.0%,"$29,900","$35,200",,
1981,43.0%,"$35,200","$45,800",,
1981,49.0%,"$45,800","$60,000",,
1981,54.0%,"$60,000","$85,600",,
1981,59.0%,"$85,600","$109,400",,
1981,64.0%,"$109,400","$162,400",,
1981,68.0%,"$162,400","$215,400",,
1981,70.0%,"$215,400",,,
1980,0.0%,$0,"$3,400",,
1980,14.0%,"$3,400","$5,500",,
1980,16.0%,"$5,500","$7,600",,
1980,18.0%,"$7,600","$11,900",,
1980,21.0%,"$11,900","$16,000",,
1980,24.0%,"$16,000","$20,200",,
1980,28.0%,"$20,200","$24,600",,
1980,32.0%,"$24,600","$29,900",,
1980,37.0%,"$29,900","$35,200",,
1980,43.0%,"$35,200","$45,800",,
1980,49.0%,"$45,800","$60,000",,
1980,54.0%,"$60,000","$85,600",,
1980,59.0%,"$85,600","$109,400",,
1980,64.0%,"$109,400","$162,400",,
1980,68.0%,"$162,400","$215,400",,
1980,70.0%,"$215,400",-,,
1979,0.0%,$0,"$3,400",,
1979,14.0%,"$3,400","$5,500",,
1979,16.0%,"$5,500","$7,600",,
1979,18.0%,"$7,600","$11,900",,
1979,21.0%,"$11,900","$16,000",,
1979,24.0%,"$16,000","$20,200",,
1979,28.0%,"$20,200","$24,600",,
1979,32.0%,"$24,600","$29,900",,
1979,37.0%,"$29,900","$35,200",,
1979,43.0%,"$35,200","$45,800",,
1979,49.0%,"$45,800","$60,000",,
1979,54.0%,"$60,000","$85,600",,
1979,59.0%,"$85,600","$109,400",,
1979,64.0%,"$109,400","$162,400",,
1979,68.0%,"$162,400","$215,400",,
1979,70.0%,"$215,400",-,,
1978,0.0%,$0,"$3,200",,
1978,14.0%,"$3,200","$4,200",,
1978,15.0%,"$4,200","$5,200",,
1978,16.0%,"$5,200","$6,200",,
1978,17.0%,"$6,200","$7,200",,
1978,19.0%,"$7,200","$11,200",,
1978,22.0%,"$11,200","$15,200",,
1978,25.0%,"$15,200","$19,200",,
1978,28.0%,"$19,200","$23,200",,
1978,32.0%,"$23,200","$27,200",,
1978,36.0%,"$27,200","$31,200",,
1978,39.0%,"$31,200","$35,200",,
1978,42.0%,"$35,200","$39,200",,
1978,45.0%,"$39,200","$43,200",,
1978,48.0%,"$43,200","$47,200",,
1978,50.0%,"$47,200","$55,200",,
1978,53.0%,"$55,200","$67,200",,
1978,55.0%,"$67,200","$79,200",,
1978,58.0%,"$79,200","$91,200",,
1978,60.0%,"$91,200","$103,200",,
1978,62.0%,"$103,200","$123,200",,
1978,64.0%,"$123,200","$143,200",,
1978,66.0%,"$143,200","$163,200",,
1978,68.0%,"$163,200","$183,200",,
1978,69.0%,"$183,200","$203,200",,
1978,70.0%,"$203,200",-,,
1977,0.0%,$0,"$3,200",,
1977,14.0%,"$3,200","$4,200",,
1977,15.0%,"$4,200","$5,200",,
1977,16.0%,"$5,200","$6,200",,
1977,17.0%,"$6,200","$7,200",,
1977,19.0%,"$7,200","$11,200",,
1977,22.0%,"$11,200","$15,200",,
1977,25.0%,"$15,200","$19,200",,
1977,28.0%,"$19,200","$23,200",,
1977,32.0%,"$23,200","$27,200",,
1977,36.0%,"$27,200","$31,200",,
1977,39.0%,"$31,200","$35,200",,
1977,42.0%,"$35,200","$39,200",,
1977,45.0%,"$39,200","$43,200",,
1977,48.0%,"$43,200","$47,200",,
1977,50.0%,"$47,200","$55,200",,
1977,53.0%,"$55,200","$67,200",,
1977,55.0%,"$67,200","$79,200",,
1977,58.0%,"$79,200","$91,200",,
1977,60.0%,"$91,200","$103,200",,
1977,62.0%,"$103,200","$123,200",,
1977,64.0%,"$123,200","$143,200",,
1977,66.0%,"$143,200","$163,200",,
1977,68.0%,"$163,200","$183,200",,
1977,69.0%,"$183,200","$203,200",,
1977,70.0%,"$203,200",-,,
1976,14.0%,$0,"$1,000",,
1976,15.0%,"$1,000","$2,000",,
1976,16.0%,"$2,000","$3,000",,
1976,17.0%,"$3,000","$4,000",,
1976,19.0%,"$4,000","$8,000",,
1976,22.0%,"$8,000","$12,000",,
1976,25.0%,"$12,000","$16,000",,
1976,28.0%,"$16,000","$20,000",,
1976,32.0%,"$20,000","$24,000",,
1976,36.0%,"$24,000","$28,000",,
1976,39.0%,"$28,000","$32,000",,
1976,42.0%,"$32,000","$36,000",,
1976,45.0%,"$36,000","$40,000",,
1976,48.0%,"$40,000","$44,000",,
1976,50.0%,"$44,000","$52,000",,
1976,53.0%,"$52,000","$64,000",,
1976,55.0%,"$64,000","$76,000",,
1976,58.0%,"$76,000","$88,000",,
1976,60.0%,"$88,000","$100,000",,
1976,62.0%,"$100,000","$120,000",,
1976,64.0%,"$120,000","$140,000",,
1976,66.0%,"$140,000","$160,000",,
1976,68.0%,"$160,000","$180,000",,
1976,69.0%,"$180,000","$200,000",,
1976,70.0%,"$200,000",-,,
1975,14.0%,$0,"$1,000",,
1975,15.0%,"$1,000","$2,000",,
1975,16.0%,"$2,000","$3,000",,
1975,17.0%,"$3,000","$4,000",,
1975,19.0%,"$4,000","$8,000",,
1975,22.0%,"$8,000","$12,000",,
1975,25.0%,"$12,000","$16,000",,
1975,28.0%,"$16,000","$20,000",,
1975,32.0%,"$20,000","$24,000",,
1975,36.0%,"$24,000","$28,000",,
1975,39.0%,"$28,000","$32,000",,
1975,42.0%,"$32,000","$36,000",,
1975,45.0%,"$36,000","$40,000",,
1975,48.0%,"$40,000","$44,000",,
1975,50.0%,"$44,000","$52,000",,
1975,53.0%,"$52,000","$64,000",,
1975,55.0%,"$64,000","$76,000",,
1975,58.0%,"$76,000","$88,000",,
1975,60.0%,"$88,000","$100,000",,
1975,62.0%,"$100,000","$120,000",,
1975,64.0%,"$120,000","$140,000",,
1975,66.0%,"$140,000","$160,000",,
1975,68.0%,"$160,000","$180,000",,
1975,69.0%,"$180,000","$200,000",,
1975,70.0%,"$200,000",-,,
1974,14.0%,$0,"$1,000",,
1974,15.0%,"$1,000","$2,000",,
1974,16.0%,"$2,000","$3,000",,
1974,17.0%,"$3,000","$4,000",,
1974,19.0%,"$4,000","$8,000",,
1974,22.0%,"$8,000","$12,000",,
1974,25.0%,"$12,000","$16,000",,
1974,28.0%,"$16,000","$20,000",,
1974,32.0%,"$20,000","$24,000",,
1974,36.0%,"$24,000","$28,000",,
1974,39.0%,"$28,000","$32,000",,
1974,42.0%,"$32,000","$36,000",,
1974,45.0%,"$36,000","$40,000",,
1974,48.0%,"$40,000","$44,000",,
1974,50.0%,"$44,000","$52,000",,
1974,53.0%,"$52,000","$64,000",,
1974,55.0%,"$64,000","$76,000",,
1974,58.0%,"$76,000","$88,000",,
1974,60.0%,"$88,000","$100,000",,
1974,62.0%,"$100,000","$120,000",,
1974,64.0%,"$120,000","$140,000",,
1974,66.0%,"$140,000","$160,000",,
1974,68.0%,"$160,000","$180,000",,
1974,69.0%,"$180,000","$200,000",,
1974,70.0%,"$200,000",-,,
1973,14.0%,$0,"$1,000",,
1973,15.0%,"$1,000","$2,000",,
1973,16.0%,"$2,000","$3,000",,
1973,17.0%,"$3,000","$4,000",,
1973,19.0%,"$4,000","$8,000",,
1973,22.0%,"$8,000","$12,000",,
1973,25.0%,"$12,000","$16,000",,
1973,28.0%,"$16,000","$20,000",,
1973,32.0%,"$20,000","$24,000",,
1973,36.0%,"$24,000","$28,000",,
1973,39.0%,"$28,000","$32,000",,
1973,42.0%,"$32,000","$36,000",,
1973,45.0%,"$36,000","$40,000",,
1973,48.0%,"$40,000","$44,000",,
1973,50.0%,"$44,000","$52,000",,
1973,53.0%,"$52,000","$64,000",,
1973,55.0%,"$64,000","$76,000",,
1973,58.0%,"$76,000","$88,000",,
1973,60.0%,"$88,000","$100,000",,
1973,62.0%,"$100,000","$120,000",,
1973,64.0%,"$120,000","$140,000",,
1973,66.0%,"$140,000","$160,000",,
1973,68.0%,"$160,000","$180,000",,
1973,69.0%,"$180,000","$200,000",,
1973,70.0%,"$200,000",-,,
1972,14.0%,$0,"$1,000",,
1972,15.0%,"$1,000","$2,000",,
1972,16.0%,"$2,000","$3,000",,
1972,17.0%,"$3,000","$4,000",,
1972,19.0%,"$4,000","$8,000",,
1972,22.0%,"$8,000","$12,000",,
1972,25.0%,"$12,000","$16,000",,
1972,28.0%,"$16,000","$20,000",,
1972,32.0%,"$20,000","$24,000",,
1972,36.0%,"$24,000","$28,000",,
1972,39.0%,"$28,000","$32,000",,
1972,42.0%,"$32,000","$36,000",,
1972,45.0%,"$36,000","$40,000",,
1972,48.0%,"$40,000","$44,000",,
1972,50.0%,"$44,000","$52,000",,
1972,53.0%,"$52,000","$64,000",,
1972,55.0%,"$64,000","$76,000",,
1972,58.0%,"$76,000","$88,000",,
1972,60.0%,"$88,000","$100,000",,
1972,62.0%,"$100,000","$120,000",,
1972,64.0%,"$120,000","$140,000",,
1972,66.0%,"$140,000","$160,000",,
1972,68.0%,"$160,000","$180,000",,
1972,69.0%,"$180,000","$200,000",,
1972,70.0%,"$200,000",-,,
1971,14.0%,$0,"$1,000",,
1971,15.0%,"$1,000","$2,000",,
1971,16.0%,"$2,000","$3,000",,
1971,17.0%,"$3,000","$4,000",,
1971,19.0%,"$4,000","$8,000",,
1971,22.0%,"$8,000","$12,000",,
1971,25.0%,"$12,000","$16,000",,
1971,28.0%,"$16,000","$20,000",,
1971,32.0%,"$20,000","$24,000",,
1971,36.0%,"$24,000","$28,000",,
1971,39.0%,"$28,000","$32,000",,
1971,42.0%,"$32,000","$36,000",,
1971,45.0%,"$36,000","$40,000",,
1971,48.0%,"$40,000","$44,000",,
1971,50.0%,"$44,000","$52,000",,
1971,53.0%,"$52,000","$64,000",,
1971,55.0%,"$64,000","$76,000",,
1971,58.0%,"$76,000","$88,000",,
1971,60.0%,"$88,000","$100,000",,
1971,62.0%,"$100,000","$120,000",,
1971,64.0%,"$120,000","$140,000",,
1971,66.0%,"$140,000","$160,000",,
1971,68.0%,"$160,000","$180,000",,
1971,69.0%,"$180,000","$200,000",,
1971,70.0%,"$200,000",-,,
1970,14.0%,$0,"$1,000",,
1970,15.0%,"$1,000","$2,000",,
1970,16.0%,"$2,000","$3,000",,
1970,17.0%,"$3,000","$4,000",,
1970,19.0%,"$4,000","$8,000",,
1970,22.0%,"$8,000","$12,000",,
1970,25.0%,"$12,000","$16,000",,
1970,28.0%,"$16,000","$20,000",,
1970,32.0%,"$20,000","$24,000",,
1970,36.0%,"$24,000","$28,000",,
1970,39.0%,"$28,000","$32,000",,
1970,42.0%,"$32,000","$36,000",,
1970,45.0%,"$36,000","$40,000",,
1970,48.0%,"$40,000","$44,000",,
1970,50.0%,"$44,000","$52,000",,
1970,53.0%,"$52,000","$64,000",,
1970,55.0%,"$64,000","$76,000",,
1970,58.0%,"$76,000","$88,000",,
1970,60.0%,"$88,000","$100,000",,
1970,62.0%,"$100,000","$120,000",,
1970,64.0%,"$120,000","$140,000",,
1970,66.0%,"$140,000","$160,000",,
1970,68.0%,"$160,000","$180,000",,
1970,69.0%,"$180,000","$200,000",,
1970,70.0%,"$200,000",-,,
1969,14.0%,$0,"$1,000",,
1969,15.0%,"$1,000","$2,000",,
1969,16.0%,"$2,000","$3,000",,
1969,17.0%,"$3,000","$4,000",,
1969,19.0%,"$4,000","$8,000",,
1969,22.0%,"$8,000","$12,000",,
1969,25.0%,"$12,000","$16,000",,
1969,28.0%,"$16,000","$20,000",,
1969,32.0%,"$20,000","$24,000",,
1969,36.0%,"$24,000","$28,000",,
1969,39.0%,"$28,000","$32,000",,
1969,42.0%,"$32,000","$36,000",,
1969,45.0%,"$36,000","$40,000",,
1969,48.0%,"$40,000","$44,000",,
1969,50.0%,"$44,000","$52,000",,
1969,53.0%,"$52,000","$64,000",,
1969,55.0%,"$64,000","$76,000",,
1969,58.0%,"$76,000","$88,000",,
1969,60.0%,"$88,000","$100,000",,
1969,62.0%,"$100,000","$120,000",,
1969,64.0%,"$120,000","$140,000",,
1969,66.0%,"$140,000","$160,000",,
1969,68.0%,"$160,000","$180,000",,
1969,69.0%,"$180,000","$200,000",,
1969,70.0%,"$200,000",-,,
1968,14.0%,$0,"$1,000",,
1968,15.0%,"$1,000","$2,000",,
1968,16.0%,"$2,000","$3,000",,
1968,17.0%,"$3,000","$4,000",,
1968,19.0%,"$4,000","$8,000",,
1968,22.0%,"$8,000","$12,000",,
